C-H,C-H,C-H,C-H,C-O,C-O,H-H,H-H,H-H,H-H,H-H,H-H,N-N,O-C,O-H,O-H,O-O,C,H,H,H,H,N,N,O,O
5.50628278818561,5.50628278818561,5.50628278818561,5.50628278818561,0.0,0.0,0.561982633771842,0.561982633771842,0.561982633771842,0.561982633771842,0.561982633771842,0.561982633771842,0.0,0.0,0.0,0.0,0.0,36.85810519942594,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.72679381748005,0.0,0.0,0.0,36.85810519942594,0.0,0.0,0.0,0.0,0.0,0.0,73.51669471981023,0.0
0.0,0.0,0.0,0.0,40.72428134369765,40.72428134369765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14952089579843,36.85810519942594,0.0,0.0,0.0,0.0,0.0,0.0,73.51669471981023,73.51669471981023
0.0,0.0,0.0,0.0,0.0,0.0,0.6551027921791205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25964168554262,8.25964168554262,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,73.51669471981023,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.36359935574082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3587073998281,53.3587073998281,0.0,0.0
