Ads1,Site1,Ads2,Site2,Slab,eV,Gf
H,top_metal,None,top_metal,slab,2.6937697787,2.7577697787
H2,top_metal,None,top_metal,slab,-0.008008994200000001,0.22799100579999998
O,top_metal,None,top_metal,slab,4.4124963213,4.4194963213000005
OH,top_metal,None,top_metal,slab,1.6221123446,1.9011123446
O2,top_metal,None,top_metal,slab,4.9705929402,4.9385929402
H2O,top_metal,None,top_metal,slab,-0.404565568,0.18943443200000004
CO,top_metal,None,top_metal,slab,2.4096699457,1.6436699457
CH,top_metal,None,top_metal,slab,6.370198923099999,5.8601989231
CH2,top_metal,None,top_metal,slab,4.3276686035,4.089668603500002
CH3,top_metal,None,top_metal,slab,2.0505197216,2.0565197216
N2,top_metal,None,top_metal,slab,0.2232250146,0.5442250146000001
NO,top_metal,None,top_metal,slab,3.2628194607,3.3538194607
NH,top_metal,None,top_metal,slab,3.3117359589,3.6837359589
NH2,top_metal,None,top_metal,slab,1.1381243985,1.8481243985
NH3,top_metal,None,top_metal,slab,-1.3965734089,-0.4695734089
H,bridge,None,top_metal,slab_vac,-0.3221391879,-0.11013918789999999
H2,bridge,None,top_metal,slab_vac,-0.0613774809,0.1036225191
OH,bridge,None,top_metal,slab_vac,-1.6249919906,-1.5349919906
H2O,bridge,None,top_metal,slab_vac,-0.4779129339,0.05808706609999997
C,bridge,None,top_metal,slab_vac,6.1224895704,5.381489570399999
CO,bridge,None,top_metal,slab_vac,2.2071998792,1.4671998792000005
CH,bridge,None,top_metal,slab_vac,3.603994925,3.131994925
CH2,bridge,None,top_metal,slab_vac,2.1364770525,1.8924770525
CH3,bridge,None,top_metal,slab_vac,0.5530673406000001,0.6690673406000001
N,bridge,None,top_metal,slab_vac,1.8360070477,2.0500070477000003
N2,bridge,None,top_metal,slab_vac,0.1578914049,0.46889140490000003
NO,bridge,None,top_metal,slab_vac,2.1604009038,2.4294009038
NH,bridge,None,top_metal,slab_vac,-0.7460463442,-0.8500463442000001
NH2,bridge,None,top_metal,slab_vac,-0.9989045012,-0.2019045012000001
NH3,bridge,None,top_metal,slab_vac,-1.5061496194,-0.4081496194
H,top_metal,None,bridge,slab_vac,0.9724920997,1.1494920997
H2,top_metal,None,bridge,slab_vac,0.0063088261,0.3043088261
OH,top_metal,None,bridge,slab_vac,-0.1985420334,0.1084579666
H2O,top_metal,None,bridge,slab_vac,-0.1497871709,0.41821282909999996
CO,top_metal,None,bridge,slab_vac,2.591332546,1.846332546
CH,top_metal,None,bridge,slab_vac,5.0225523528,4.499552352799999
CH2,top_metal,None,bridge,slab_vac,3.1516951938,2.9116951938
CH3,top_metal,None,bridge,slab_vac,1.2806985765,1.4326985765000002
N,top_metal,None,bridge,slab_vac,3.9531554374,4.1121554374
N2,top_metal,None,bridge,slab_vac,0.3167656855,0.5787656855
NO,top_metal,None,bridge,slab_vac,3.0065312392,3.2305312392000003
NH,top_metal,None,bridge,slab_vac,1.1103254403,1.5633254403
NH2,top_metal,None,bridge,slab_vac,-0.2739848809,0.42201511909999995
NH3,top_metal,None,bridge,slab_vac,-0.9693461902,0.1546538098
H,top_metal,CH3,top_other,slab,0.9758355639,1.0398355639
O,top_metal,CH3,top_other,slab,2.0976538734,2.1046538734
OH,top_metal,CH3,top_other,slab,-0.1678671708,0.1111328292
H2O,top_metal,CH3,top_other,slab,-0.2080584709,0.3859415291000001
CO,top_metal,CH3,top_other,slab,2.563001673,1.797001673
CH,top_metal,CH3,top_other,slab,5.175076718,4.665076718
CH2,top_metal,CH3,top_other,slab,3.2727178781,3.0347178781000004
NO,top_metal,CH3,top_other,slab,3.0462115773000003,3.1372115773
NH,top_metal,CH3,top_other,slab,2.1918472776,2.5638472776000003
NH2,top_metal,CH3,top_other,slab,-0.1248750016,0.5851249984
NH3,top_metal,CH3,top_other,slab,-0.8828455156999999,0.04415448430000002
H2O,top_metal,H,top_other,slab,-0.0432793174,0.5507206826000001
CO,top_metal,H,top_other,slab,2.5310793039,1.7650793039
CH,top_metal,H,top_other,slab,5.1445881173000005,4.634588117300001
