Ads1,Site1,Ads2,Site2,Slab,eV,Gf
NH3,top_metal,N,bridge,slab_vac,-1.6014410715,-0.4774410715
N,bridge,H2,top_metal,slab_vac,1.825551749,2.039551749
N,bridge,O,top_metal,slab_vac,5.531365255599999,5.745365255599999
N,bridge,OH,top_metal,slab_vac,3.712,3.926
N,bridge,H2O,top_metal,slab_vac,1.5272793365,1.7412793365
N,bridge,CO,top_metal,slab_vac,1.6476598319,1.8616598319
N,bridge,CH,top_metal,slab_vac,2.9429424242,3.1569424242000004
N,bridge,CH3,top_metal,slab_vac,2.418054049,2.632054049
N,bridge,N2,top_metal,slab_vac,1.739,1.953
N,bridge,NH,top_metal,slab_vac,3.8375172081,4.0515172081
N,bridge,NH2,top_metal,slab_vac,3.04177,3.25577
N,bridge,NH3,top_metal,slab_vac,1.2039121664,1.4179121663999998
H,top_metal,NH2,bridge,slab_vac,1.0620024906,1.2390024906
H2,top_metal,NH2,bridge,slab_vac,-0.7408260419,-0.44282604189999997
O,top_metal,NH2,bridge,slab_vac,1.9790676975,2.0090676975
OH,top_metal,NH2,bridge,slab_vac,-0.913228264,-0.606228264
C,top_metal,NH2,bridge,slab_vac,7.9184298782,7.2184298782
CO,top_metal,NH2,bridge,slab_vac,2.4911267158,1.7461267158000002
CH,top_metal,NH2,bridge,slab_vac,5.16903089,4.64603089
CH2,top_metal,NH2,bridge,slab_vac,3.2576612684,3.0176612683999995
CH3,top_metal,NH2,bridge,slab_vac,1.394133227,1.5461332269999999
N2,top_metal,NH2,bridge,slab_vac,0.2821997292,0.5441997292
NO,top_metal,NH2,bridge,slab_vac,3.0605213702,3.2845213702
NH2,top_metal,NH2,bridge,slab_vac,-0.1036497045,0.5923502955
NH3,top_metal,NH2,bridge,slab_vac,-1.1532778126999998,-0.02927781269999985
NH2,bridge,H,top_metal,slab_vac,-0.9093941102,-0.11239411019999998
NH2,bridge,H2,top_metal,slab_vac,-1.7460393691999998,-0.9490393692
NH2,bridge,O,top_metal,slab_vac,0.446702551,1.243702551
NH2,bridge,OH,top_metal,slab_vac,-1.7135907317,-0.9165907317
NH2,bridge,CO,top_metal,slab_vac,-1.0991103314,-0.3021103314
NH2,bridge,CH,top_metal,slab_vac,-0.852425964,-0.055425964000000084
NH2,bridge,CH2,top_metal,slab_vac,-0.8929384266,-0.09593842660000004
NH2,bridge,CH3,top_metal,slab_vac,-0.8854698507,-0.08846985069999999
NH2,bridge,N2,top_metal,slab_vac,-1.0334704574,-0.23647045740000006
NH2,bridge,NO,top_metal,slab_vac,-0.9449143701,-0.14791437010000005
NH2,bridge,NH2,top_metal,slab_vac,-0.8285693248,-0.03156932480000005
NH2,bridge,NH3,top_metal,slab_vac,-1.1828361237,-0.3858361237000001
H,top_metal,H,top_metal,slab,2.7848997919,2.8488997919
H,top_metal,H2O,top_metal,slab,2.5405028145,2.6045028145
H2O,top_metal,H,top_metal,slab,-0.5578325322,0.03616746780000008
O,bridge,H2,top_metal,slab_vac,-1.4607243433,-1.4307243433
O,bridge,H,top_metal,slab_vac,-1.3028528027,-1.2728528027
