Ads1,Site1,Ads2,Site2,Slab,eV,Gf
H,top_metal,None,top_metal,slab,2.6937697787,2.7577697787
O,top_metal,None,top_metal,slab,4.4124963213,4.4194963213000005
OH,top_metal,None,top_metal,slab,1.6221123446,1.9011123446
H2O,top_metal,None,top_metal,slab,-0.404565568,0.18943443200000004
CO,top_metal,None,top_metal,slab,2.4096699457,1.6436699457
CH,top_metal,None,top_metal,slab,6.370198923099999,5.8601989231
CH2,top_metal,None,top_metal,slab,4.3276686035,4.089668603500002
CH3,top_metal,None,top_metal,slab,2.0505197216,2.0565197216
NO,top_metal,None,top_metal,slab,3.2628194607,3.3538194607
NH,top_metal,None,top_metal,slab,3.3117359589,3.6837359589
NH2,top_metal,None,top_metal,slab,1.1381243985,1.8481243985
NH3,top_metal,None,top_metal,slab,-1.3965734089,-0.4695734089
H,bridge,None,top_metal,slab_vac,-0.3221391879,-0.1101391879
OH,bridge,None,top_metal,slab_vac,-1.6249919906,-1.5349919906
H2O,bridge,None,top_metal,slab_vac,-0.4779129339,0.05808706609999997
C,bridge,None,top_metal,slab_vac,6.1224895704,5.381489570399999
CO,bridge,None,top_metal,slab_vac,2.2071998792,1.4671998792000005
CH,bridge,None,top_metal,slab_vac,3.603994925,3.131994925
CH2,bridge,None,top_metal,slab_vac,2.1364770525,1.8924770525
CH3,bridge,None,top_metal,slab_vac,0.5530673406000001,0.6690673406000001
N,bridge,None,top_metal,slab_vac,1.8360070477000001,2.0500070477000003
NO,bridge,None,top_metal,slab_vac,2.1604009038,2.4294009038
NH,bridge,None,top_metal,slab_vac,-0.7460463442,-0.8500463442000001
NH2,bridge,None,top_metal,slab_vac,-0.9989045012000001,-0.2019045012000001
NH3,bridge,None,top_metal,slab_vac,-1.5061496194,-0.4081496194
H,top_metal,None,bridge,slab_vac,0.9724920997,1.1494920997
OH,top_metal,None,bridge,slab_vac,-0.1985420334,0.1084579666
H2O,top_metal,None,bridge,slab_vac,-0.1497871709,0.4182128291
CO,top_metal,None,bridge,slab_vac,2.591332546,1.846332546
CH,top_metal,None,bridge,slab_vac,5.0225523528,4.499552352799999
CH2,top_metal,None,bridge,slab_vac,3.1516951937999997,2.9116951938
CH3,top_metal,None,bridge,slab_vac,1.2806985765,1.4326985765000002
N,top_metal,None,bridge,slab_vac,3.9531554374,4.1121554374
NO,top_metal,None,bridge,slab_vac,3.0065312392,3.2305312392000003
NH,top_metal,None,bridge,slab_vac,1.1103254403,1.5633254403
NH2,top_metal,None,bridge,slab_vac,-0.2739848809,0.4220151191
NH3,top_metal,None,bridge,slab_vac,-0.9693461902,0.1546538098
H,top_metal,CH3,top_other,slab,0.9758355639,1.0398355639
O,top_metal,CH3,top_other,slab,2.0976538734,2.1046538734
OH,top_metal,CH3,top_other,slab,-0.1678671708,0.1111328292
H2O,top_metal,CH3,top_other,slab,-0.2080584709,0.3859415291000001
CO,top_metal,CH3,top_other,slab,2.563001673,1.797001673
CH,top_metal,CH3,top_other,slab,5.175076718,4.665076718
CH2,top_metal,CH3,top_other,slab,3.2727178781,3.0347178781000004
NO,top_metal,CH3,top_other,slab,3.0462115773000003,3.1372115773
NH,top_metal,CH3,top_other,slab,2.1918472776,2.5638472776000003
NH2,top_metal,CH3,top_other,slab,-0.12487500160000001,0.5851249984
NH3,top_metal,CH3,top_other,slab,-0.8828455156999999,0.04415448430000002
H2O,top_metal,H,top_other,slab,-0.0432793174,0.5507206826000001
CO,top_metal,H,top_other,slab,2.5310793039,1.7650793039
CH,top_metal,H,top_other,slab,5.1445881173000005,4.634588117300001
CH2,top_metal,H,top_other,slab,3.2318217348,2.9938217348
CH3,top_metal,H,top_other,slab,1.3218333638,1.3278333638000002
N,top_metal,H,top_other,slab,4.9833244721,5.2913244720999995
NH,top_metal,H,top_other,slab,2.2499359891,2.6219359891000003
NO,top_metal,H,top_other,slab,3.0215215891000002,3.1125215891000004
NH2,top_metal,H,top_other,slab,-0.19345275399999998,0.516547246
NH3,top_metal,H,top_other,slab,-1.0404018122,-0.11340181220000012
H2O,top_metal,H,top_other,slab,-0.0432793174,0.5507206826000001
H,top_metal,NH2,top_other,slab,1.070570679,1.134570679
O,top_metal,NH2,top_other,slab,1.6072793445,1.6142793445
OH,top_metal,NH2,top_other,slab,-0.3380977193,-0.05909771929999999
H2O,top_metal,NH2,top_other,slab,-0.3508527211,0.24314727890000004
CO,top_metal,NH2,top_other,slab,2.474833076,1.708833076
CH,top_metal,NH2,top_other,slab,5.183097277,4.673097277
CH2,top_metal,NH2,top_other,slab,3.2781458714,3.0401458714
NO,top_metal,NH2,top_other,slab,3.0464675005,3.1374675005
NH,top_metal,NH2,top_other,slab,2.1145912668,2.4865912668000005
NH2,top_metal,NH2,top_other,slab,-0.1562525986,0.5537474014
NH3,top_metal,NH2,top_other,slab,-1.1969115584999999,-0.2699115584999999
H2O,top_metal,CH,top_metal,slab,-0.0812785355,0.5127214645000001
CO,top_metal,CH,top_metal,slab,2.4978502436000003,1.7318502436000005
CH,top_metal,CH,top_metal,slab,6.1452152359,5.6352152359000005
CH2,top_metal,CH,top_metal,slab,4.6790533074,4.441053307400001
NH2,top_metal,CH,top_metal,slab,1.462982345,2.172982345
NH3,top_metal,CH,top_metal,slab,-1.1339177207,-0.20691772070000009
O,top_metal,CH2,top_metal,slab,4.131910363899999,4.1389103639
OH,top_metal,CH2,top_metal,slab,2.0980153087,2.3770153087
H2O,top_metal,CH2,top_metal,slab,-0.368916054,0.22508394600000006
CH,top_metal,CH2,top_metal,slab,6.721583627,6.211583627
CH2,top_metal,CH2,top_metal,slab,4.2281161189,3.990116118900002
NO,top_metal,CH2,top_metal,slab,3.4587247777999997,3.5497247777999994
NH,top_metal,CH2,top_metal,slab,3.7020981306,4.0740981306
NH2,top_metal,CH2,top_metal,slab,0.8576902807,1.5676902807
O,top_metal,CO,top_metal,slab,4.3335243599,4.340524359900002
OH,top_metal,CO,top_metal,slab,1.7614978232,2.0404978232
H2O,top_metal,CO,top_metal,slab,0.09399877470000001,0.6879987747
CO,top_metal,CO,top_metal,slab,2.6171923521,1.8511923521
CH,top_metal,CO,top_metal,slab,6.458379221,5.9483792210000015
NO,top_metal,CO,top_metal,slab,3.4315464435000003,3.5225464435000005
NH,top_metal,CO,top_metal,slab,3.4047672324000002,3.7767672324000015
NH2,top_metal,CO,top_metal,slab,1.1491304558,1.8591304558
NH3,top_metal,CO,top_metal,slab,-1.2099962944,-0.2829962944000001
H2O,top_metal,H2O,top_metal,slab,-0.7915351589,-0.1975351589
OH,top_metal,H2O,top_metal,slab,1.8970532978999999,2.1760532979
CO,top_metal,H2O,top_metal,slab,2.9082342883999996,2.1422342884
CH,top_metal,H2O,top_metal,slab,6.693485955700001,6.1834859557
CH2,top_metal,H2O,top_metal,slab,4.3633181175,4.125318117500001
NO,top_metal,H2O,top_metal,slab,3.5169653289999996,3.6079653289999993
NH,top_metal,H2O,top_metal,slab,3.1668537782999997,3.5388537783
NH2,top_metal,H2O,top_metal,slab,1.1155197556,1.8255197556
NH3,top_metal,H2O,top_metal,slab,-0.944032925,-0.017032925000000088
O,top_metal,NH,top_metal,slab,4.2089714051,4.2159714051
NH,top_metal,NH,top_metal,slab,3.4639241273000003,3.8359241273000007
OH,top_metal,NH,top_metal,slab,1.8432098362,2.1222098362
H2O,top_metal,NH,top_metal,slab,-0.5494477487,0.04455225130000002
CO,top_metal,NH,top_metal,slab,2.5027012192,1.7367012192
CH2,top_metal,NH,top_metal,slab,4.7180307751,4.4800307751
NH,top_metal,NH,top_metal,slab,3.4639460325,3.8359460325
NH2,top_metal,NH,top_metal,slab,1.1651981049,1.8751981049
NH3,top_metal,NH,top_metal,slab,-1.1392542837000001,-0.2122542837000002
O,top_metal,NH2,top_metal,slab,4.0946688472,4.101668847200002
