Ads1,Site1,Ads2,Site2,Slab,eV,Gf,energyML,Std,energyDFT
H,bridge,OH,top_metal,slab_vac,-0.32598328870000004,-0.24223328870000005,-0.18273469099021256,0.2920140048495042,-0.24223328870000005
H,bridge,H2O,top_metal,slab_vac,-0.40965860390000003,-0.3259086039,-0.1970930923511247,0.30490108719195,-0.3259086039
H,bridge,CO,top_metal,slab_vac,-0.5051707404,-0.4214207404,-0.15329763258968754,0.27216749627282183,-0.4214207404
H,bridge,CH,top_metal,slab_vac,0.4712693927000001,0.5550193927000002,0.11238982655681085,0.49913786114981434,0.5550193927000002
H,bridge,CH2,top_metal,slab_vac,-0.006409251099999999,0.07734074889999999,-0.11921583389290902,0.3682580836042559,0.07734074889999999
H,bridge,CH3,top_metal,slab_vac,-0.3519086742,-0.2681586742,-0.20924647970893417,0.3118026706100081,-0.2681586742
H,bridge,N,top_metal,slab_vac,0.7760892752999999,0.8598392752999999,1.2865266172755891,1.8985216342014235,0.8598392752999999
H,bridge,N2,top_metal,slab_vac,-0.45329139729999995,-0.36954139729999996,-0.16489040760938423,0.29777930872487696,-0.3695413973
H,bridge,NO,top_metal,slab_vac,-0.3228407806,-0.2390907806,-0.08100453482838432,0.3101267722822206,-0.2390907806
H,bridge,NH,top_metal,slab_vac,0.7407022152,0.8244522152,1.2023306090496764,1.8251315772543109,0.8244522152
H,bridge,NH2,top_metal,slab_vac,-0.32427863079999997,-0.2405286308000001,-0.16982492711104413,0.2903753725131728,-0.2405286308000001
H,bridge,NH3,top_metal,slab_vac,-0.6379189513000001,-0.5541689513000001,-0.22319028414206699,0.32590203885589203,-0.5541689513000001
H2,bridge,H,top_metal,slab_vac,-0.2877410878,-0.3792410878,-0.5309999982782116,0.3047567349071897,-0.3792410878
H2O,bridge,H,top_metal,slab_vac,-0.6147527864,-0.11875278639999998,0.0040694887763736975,0.35169945339426034,-0.11875278639999998
CO,bridge,H,top_metal,slab_vac,2.7132455406,3.4047455406000005,3.302824188843561,0.35171722877879447,3.4047455406000005
CH,bridge,H,top_metal,slab_vac,4.8022420635000005,5.4169920635,4.4620918948269335,0.33815188280083003,5.4169920635
CH2,bridge,H,top_metal,slab_vac,2.9652709012000003,3.6797709012,3.445931189567517,0.23581341526903382,3.6797709012
CH3,bridge,H,top_metal,slab_vac,0.7429254160000001,1.6891754159999999,1.6244234102036685,0.3421049683458906,1.689175416
N,bridge,H,top_metal,slab_vac,3.6234,3.8399,1.9077218586123905,0.3446200800027795,3.8399
N2,bridge,H,top_metal,slab_vac,0.09912186419999999,0.4151218642,0.453897398229824,0.35171722877878686,0.4151218642
NO,bridge,H,top_metal,slab_vac,2.428484343,2.9164843430000005,2.6973613415209323,0.35171722877878686,2.9164843430000005
NH,bridge,H,top_metal,slab_vac,0.5320917350000001,0.3023417350000001,-0.5965505662632467,0.23683158288836864,0.3023417350000001
NH2,bridge,H,top_metal,slab_vac,-1.0895579365999999,-0.5465579366000002,-0.63955485449695,0.33933178753758053,-0.5465579366000002
NH3,bridge,H,top_metal,slab_vac,-2.0403366496,-1.3245866495999998,-1.0508351494520696,0.2383853817437321,-1.3245866495999998
H,top_metal,H2,bridge,slab_vac,0.8339367578000001,0.8826867578000002,0.9708631228358904,0.2508717209555526,0.8826867578000002
H,top_metal,H2O,bridge,slab_vac,0.7478439820999999,0.7965939821,0.961413872591244,0.2537956940317265,0.7965939821
H,top_metal,C,bridge,slab_vac,1.8298465088,1.8785965087999998,1.7858508005779523,0.2704609796310545,1.8785965088
H,top_metal,CO,bridge,slab_vac,0.863879906,0.9126299059999999,0.9080046396964292,0.2595203376847603,0.912629906
H,top_metal,CH,bridge,slab_vac,1.8195061782,1.8682561782,1.525761912911186,0.24851156372969463,1.8682561782
H,top_metal,CH2,bridge,slab_vac,1.5378611533000002,1.5866111533000002,1.5347464984048944,0.2426247056368533,1.5866111533000002
H,top_metal,CH3,bridge,slab_vac,0.9867336451,1.0354836451,0.9343292810035368,0.25460227263870294,1.0354836451
H,top_metal,N,bridge,slab_vac,2.6721717385000003,2.7209217385000004,1.9574386722474149,0.8740212382996576,2.7209217385000004
H,top_metal,N2,bridge,slab_vac,0.8259142940000002,0.8746642940000002,0.950659551596118,0.2536827153791909,0.8746642940000002
H,top_metal,NO,bridge,slab_vac,0.9771507438,1.0259007437999998,1.1934007639700113,0.2505161090220248,1.0259007437999998
H,top_metal,NH,bridge,slab_vac,2.2506510217,2.2994010217,1.760429747505368,0.25567235614964384,2.2994010217
H,top_metal,NH2,bridge,slab_vac,0.9696469292000001,1.0183969292,0.9658803702724015,0.25235355253395064,1.0183969292
H,top_metal,NH3,bridge,slab_vac,0.6139215994,0.6626715994000001,0.9580318920483233,0.25525213336496844,0.6626715994000001
H2,top_metal,C,bridge,slab_vac,-0.1824235968,-0.1409235968,0.5311910043415295,0.2704609831912427,-0.1409235968
OH,top_metal,C,bridge,slab_vac,0.8850280885999999,1.2802780886,1.9983724340727713,0.3158158046290504,1.2802780886
H2O,top_metal,C,bridge,slab_vac,-0.4416112988000001,0.08638870119999993,0.2635683201503749,0.31644456872230325,0.08638870119999993
CO,top_metal,C,bridge,slab_vac,2.9619342994,3.6484342994,3.592218512068026,0.32300933564219936,3.6484342994
CH,top_metal,C,bridge,slab_vac,5.3722247949999975,5.935974794999997,7.116750502406916,0.3089848375975636,5.935974794999997
CH2,top_metal,C,bridge,slab_vac,3.38021653,4.09871653,5.18204851387765,0.2976451925308815,4.09871653
CH3,top_metal,C,bridge,slab_vac,2.1573931071000003,3.1396431071000004,3.208136380536992,0.2112119620521652,3.1396431071000004
N2,top_metal,C,bridge,slab_vac,0.2352017025,0.5022017025,0.5469457035581908,0.32300933564220213,0.5022017025
NH2,top_metal,C,bridge,slab_vac,-0.46681653,-0.02481653000000003,1.3227324737173909,0.304654453502603,-0.02481653000000003
NH3,top_metal,C,bridge,slab_vac,-1.6454372497999998,-0.9036872497999998,-0.9637282476575244,0.31272836497524736,-0.9036872497999998
C,bridge,H,top_metal,slab_vac,7.4200201558000005,7.894020155800001,6.7185160975157245,0.3441746456072408,7.894020155800001
C,bridge,H2,top_metal,slab_vac,6.4606067375,6.9346067375,6.762612023046664,0.31918033606566826,6.9346067375
C,bridge,OH,top_metal,slab_vac,7.4694844875,7.9434844875,6.731303145082379,0.3312341445968154,7.9434844875
C,bridge,H2O,top_metal,slab_vac,6.1818985025,6.6558985025,6.717446973027322,0.34417792127149827,6.6558985025
C,bridge,CO,top_metal,slab_vac,6.3174747938,6.7914747938,6.786250677507418,0.31400620626631687,6.7914747938
C,bridge,CH,top_metal,slab_vac,6.5600164983,7.034016498300001,7.087172426735357,0.542746113969019,7.034016498300001
C,bridge,CH2,top_metal,slab_vac,6.5266377752999984,7.0006377753,6.779083254946052,0.40847596302516953,7.0006377752999995
C,bridge,CH3,top_metal,slab_vac,7.2626088960000015,7.736608896000003,6.687279109821397,0.34955056938851203,7.736608896000003
C,bridge,N2,top_metal,slab_vac,6.3921586474000005,6.8661586474000025,6.749868039137937,0.3376595597736252,6.8661586474000025
C,bridge,NH2,top_metal,slab_vac,6.4564707413,6.9304707413,6.748154675679778,0.33010934447760587,6.9304707413
C,bridge,NH3,top_metal,slab_vac,6.061056365800001,6.5350563658,6.669725517311228,0.3622341879415691,6.5350563658
H2,top_metal,H2O,bridge,slab_vac,-0.2031322856,-0.16163228559999998,-0.10385877577061287,0.2537956975285666,-0.16163228559999998
O,top_metal,H2O,bridge,slab_vac,0.32951653000000003,0.5760165300000001,3.2814481553243073,1.0373573652969317,0.5760165300000001
H2O,top_metal,H2O,bridge,slab_vac,0.099995214,0.627995214,0.27219541090898547,0.2989102516922452,0.627995214
C,top_metal,H2O,bridge,slab_vac,7.8094609496,8.324460949599999,7.026510447932406,1.2352341148418469,8.324460949599999
CO,top_metal,H2O,bridge,slab_vac,3.1318221204000003,3.8183221204,3.7898078722857473,0.3046263008643747,3.8183221204000004
CH,top_metal,H2O,bridge,slab_vac,5.2098870092,5.7736370092,5.893758400592311,0.2898934482759795,5.7736370092
CH2,top_metal,H2O,bridge,slab_vac,3.2510686572000003,3.9695686572000004,4.107514694941969,0.2784470803231021,3.9695686572
CH3,top_metal,H2O,bridge,slab_vac,1.3035205853,2.2857705853,2.376953213112369,0.20675730525985692,2.2857705853
N,top_metal,H2O,bridge,slab_vac,3.5621733901,3.7236733901,4.0816702800013545,0.3105830648322151,3.7236733901
N2,top_metal,H2O,bridge,slab_vac,0.31256057239999996,0.5795605723999999,0.5808330973868433,0.3046263008643601,0.5795605723999999
NO,top_metal,H2O,bridge,slab_vac,2.9768209143,3.4198209143000002,3.6246525824422244,0.3046263008643601,3.4198209143
NH,top_metal,H2O,bridge,slab_vac,0.8716875358,1.1989375358,1.4871049352059629,0.2900681908827224,1.1989375358
NH2,top_metal,H2O,bridge,slab_vac,-0.4099938632,0.032006136799999946,0.13677835710901576,0.2853921943409913,0.032006136799999946
NH3,top_metal,H2O,bridge,slab_vac,-1.0850303834000001,-0.3432803833999999,-0.6482647872652549,0.2941087089394715,-0.3432803833999999
H2O,bridge,H,top_metal,slab_vac,-0.6163952663000001,-0.12039526630000008,0.004069488776374142,0.35169945339426034,-0.12039526630000008
H2O,bridge,H2,top_metal,slab_vac,-0.5117375157,-0.015737515700000038,0.013540488936485406,0.32608587422085694,-0.015737515700000038
H2O,bridge,O,top_metal,slab_vac,-0.8574119081,-0.3614119081,0.09323345875409483,2.0564648422935567,-0.3614119081
H2O,bridge,H2O,top_metal,slab_vac,-0.2281305491,0.26786945090000003,0.014915732988248775,0.3478961032453549,0.26786945090000003
H2O,bridge,CO,top_metal,slab_vac,-0.46427294950000003,0.03172705050000002,0.016535526480464746,0.3197212744067394,0.03172705050000002
H2O,bridge,CH,top_metal,slab_vac,-0.5540030725,-0.05800307250000002,0.03636744869887876,0.5263557689863904,-0.05800307250000002
H2O,bridge,CH2,top_metal,slab_vac,-0.5541560005,-0.05815600050000003,0.002354220432876808,0.41047524157005827,-0.05815600050000003
H2O,bridge,CH3,top_metal,slab_vac,-0.5428991902,-0.0468991902,0.004868245065453802,0.3569611652032834,-0.046899190199999996
H2O,bridge,N,top_metal,slab_vac,-0.8688949812000001,-0.3728949812000001,0.0868065035373875,1.922344619248283,-0.3728949812000001
H2O,bridge,N2,top_metal,slab_vac,-0.4821180470000001,0.013881952999999891,0.006285021322375073,0.3453519614123122,0.013881952999999891
H2O,bridge,NO,top_metal,slab_vac,-0.6832397887999999,-0.18723978879999992,0.016694526283270505,0.3542521108822318,-0.18723978879999992
H2O,bridge,NH,top_metal,slab_vac,-0.6287425734000001,-0.13274257340000006,0.08283481878389054,1.848099168113178,-0.13274257340000006
H2O,bridge,NH2,top_metal,slab_vac,-0.43830538630000004,0.057694613700000015,0.00794509472863969,0.33818890163400817,0.057694613700000015
H2O,bridge,NH3,top_metal,slab_vac,-0.3301723322,0.16582766780000002,0.008162225896157338,0.36805854796588894,0.16582766780000002
H,top_metal,CH2,bridge,slab_vac,1.5375668621,1.5863168621,1.5347464984048944,0.2426247056368533,1.5863168621000001
H2,top_metal,CH2,bridge,slab_vac,-0.196762778,-0.15526277800000002,0.3165688894813865,0.24262470727090588,-0.15526277800000002
OH,top_metal,CH2,bridge,slab_vac,0.2682246514,0.6634746514000001,1.4911467855697054,0.2654793241459261,0.6634746514000001
H2O,top_metal,CH2,bridge,slab_vac,-0.08652298779999999,0.44147701219999996,0.27362151903271115,0.26532690843891876,0.4414770122
CO,top_metal,CH2,bridge,slab_vac,3.0053251835,3.6918251835,3.7496397402290693,0.26672257556080364,3.6918251835
CH2,top_metal,CH2,bridge,slab_vac,3.5880948598000004,4.3065948598000015,4.932546430870353,0.25804573183821183,4.3065948598000015
N2,top_metal,CH2,bridge,slab_vac,0.286110415,0.5531104149999999,0.5724212417140048,0.26672257556078366,0.5531104149999999
NH2,top_metal,CH2,bridge,slab_vac,-0.0564142881,0.38558571189999996,0.9206516866513894,0.2617851478669568,0.3855857119
NH3,top_metal,CH2,bridge,slab_vac,-1.4620701275999999,-0.7203201276000001,-0.8787657107663591,0.263804959083199,-0.7203201276000001
CH2,bridge,H,top_metal,slab_vac,2.9649766099000003,3.6794766099,3.445931189567517,0.23581341526903382,3.6794766099
CH2,bridge,H2,top_metal,slab_vac,2.2846385083,2.9991385083,3.4502052096656755,0.21838067643648054,2.9991385082999997
CH2,bridge,OH,top_metal,slab_vac,2.6910520023,3.4055520023000003,3.4427536535235888,0.22372993398254734,3.4055520023000003
CH2,bridge,H2O,top_metal,slab_vac,2.3753577656,3.0898577656,3.4127448328858705,0.23858774558089887,3.0898577656
CH2,bridge,CO,top_metal,slab_vac,2.19923663,2.91373663,3.4598091082714717,0.2186643157917611,2.91373663
CH2,bridge,CH2,top_metal,slab_vac,2.5728767185,3.2873767185,3.502506374079651,0.3348418161949527,3.2873767185
CH2,bridge,N2,top_metal,slab_vac,2.2814383121,2.9959383121,3.4629056248457104,0.23839268384502402,2.9959383121
CH2,bridge,NH2,top_metal,slab_vac,2.7052807053000003,3.4197807052999996,3.4561147206406204,0.22792247232809726,3.4197807053
CH2,bridge,NH3,top_metal,slab_vac,2.08279444,2.79729444,3.397227757078568,0.2474111295068096,2.79729444
CO,bridge,N2,top_metal,slab_vac,2.8493808899999995,3.5408808899999995,3.320551780320333,0.3453828876568641,3.5408808899999995
CH,bridge,N2,top_metal,slab_vac,4.1013567728,4.7161067728,4.495810678985535,0.33260821788173955,4.7161067728
NO,bridge,N2,top_metal,slab_vac,2.3943724089,2.8823724089,2.72002528605893,0.34538288765685893,2.8823724089
NH,bridge,N2,top_metal,slab_vac,-0.7265207537999999,-0.9562707537999998,-0.5765382198084481,0.23972917418891954,-0.9562707537999998
N2,top_metal,CO,bridge,slab_vac,0.2732228257,0.5402228256999999,0.5819205522104034,0.3118327460824363,0.5402228256999999
N2,top_metal,CH,bridge,slab_vac,0.3918284577,0.6588284577,0.5736807272325872,0.27180071496366504,0.6588284577
N2,top_metal,NO,bridge,slab_vac,0.21624638,0.48324638,0.5869539337797045,0.2735964987780756,0.48324638
N2,top_metal,NH,bridge,slab_vac,0.2652252603,0.5322252603000001,0.5503210031576034,0.30431130375119714,0.5322252603000001
O,top_metal,N2,bridge,slab_vac,0.51161653,0.75811653,3.267029914393633,1.0438122428009873,0.75811653
OH,top_metal,N2,bridge,slab_vac,-0.14178360410000002,0.25346639590000003,0.4381761834374238,0.30111577664574735,0.25346639590000003
CO,top_metal,N2,bridge,slab_vac,3.1166057798,3.8031057798,3.7954946224215282,0.3046150360941372,3.8031057798
CH,top_metal,N2,bridge,slab_vac,5.623913163399999,6.187663163399999,5.882877539563605,0.28975948588245765,6.187663163399999
N2,top_metal,N2,bridge,slab_vac,0.293564977,0.5605649770000001,0.5813588692121036,0.3046150360941226,0.5605649770000001
NO,top_metal,N2,bridge,slab_vac,3.2736164283,3.7166164283,3.625193805759552,0.3046150360941226,3.7166164283
NH,top_metal,N2,bridge,slab_vac,0.9593110884999998,1.2865610884999998,1.4589879011277418,0.29003378826559106,1.2865610884999998
N2,bridge,O,top_metal,slab_vac,-0.0395464581,0.2764535419,0.3346070716075151,2.061397771301875,0.2764535419
N2,bridge,OH,top_metal,slab_vac,0.1268415692,0.4428415692,0.4581466096297774,0.3392304305715469,0.4428415692
N2,bridge,CO,top_metal,slab_vac,0.1563150487,0.4723150487,0.4674472818010985,0.31972611071683504,0.47231504869999996
N2,bridge,CH,top_metal,slab_vac,0.49582742049999995,0.8118274205,0.4875257090050357,0.5267239729134272,0.8118274205
N2,bridge,NO,top_metal,slab_vac,0.249360064,0.5653600639999999,0.4689278664688866,0.35434756854628835,0.5653600639999999
N2,bridge,NH3,top_metal,slab_vac,0.09468531820000001,0.4106853182,0.39415759551488494,1.8522872712904512,0.4106853182
CH,bridge,NH3,top_metal,slab_vac,3.7378382352,4.3525882352,4.407563705537221,0.3538377649188602,4.3525882352
NO,bridge,NH3,top_metal,slab_vac,1.7865956719999998,2.274595672,2.695418221102986,0.36809471959211465,2.274595672
NH,bridge,NH3,top_metal,slab_vac,-1.0394232373,-1.2691732373000002,-0.6562103206377827,0.248107392759984,-1.2691732373000002
NH3,top_metal,CH,bridge,slab_vac,-1.3623524698999998,-0.6206024698999998,-0.8953985056227012,0.2684007859472863,-0.6206024698999998
NH3,top_metal,CO,bridge,slab_vac,-1.7821927469999999,-1.0404427470000002,-0.803240199348636,0.2693166766117482,-1.0404427470000002
NH3,top_metal,NH,bridge,slab_vac,-1.4383396133000002,-0.6965896133000001,-0.9369309057095485,0.2955755979563183,-0.6965896133000001
CO,bridge,N2,top_metal,slab_vac,2.8493808899999995,3.5408808899999995,3.320551780320333,0.3453828876568641,3.5408808899999995
CH,bridge,N2,top_metal,slab_vac,4.1013567728,4.7161067728,4.495810678985535,0.33260821788173955,4.7161067728
NO,bridge,N2,top_metal,slab_vac,2.3943724089,2.8823724089,2.72002528605893,0.34538288765685893,2.8823724089
NH,bridge,N2,top_metal,slab_vac,-0.7265207537999999,-0.9562707537999998,-0.5765382198084481,0.23972917418891954,-0.9562707537999998
N2,top_metal,H2,bridge,slab_vac,0.1346906965,0.4016906965,0.5816581778541665,0.30015790643983487,0.4016906965
N2,top_metal,CO,bridge,slab_vac,0.2732228257,0.5402228256999999,0.5819205522104034,0.3118327460824363,0.5402228256999999
N2,top_metal,CH,bridge,slab_vac,0.3918284577,0.6588284577,0.5736807272325872,0.27180071496366504,0.6588284577
N2,top_metal,NO,bridge,slab_vac,0.21624638,0.48324638,0.5869539337797045,0.2735964987780756,0.48324638
N2,top_metal,NH,bridge,slab_vac,0.2652252603,0.5322252603000001,0.5503210031576034,0.30431130375119714,0.5322252603000001
H2,bridge,H2O,top_metal,slab_vac,-0.2520006877,-0.34350068770000003,-0.5602672809379463,0.3049010898283128,-0.34350068770000003
C,bridge,H2O,top_metal,slab_vac,6.1818985025,6.6558985025,6.717446973027322,0.34417792127154473,6.6558985025
CO,bridge,H2O,top_metal,slab_vac,2.6768919316999997,3.3683919317000006,3.357189108095124,0.34796040582896165,3.3683919317000006
CH,bridge,H2O,top_metal,slab_vac,3.6668687372000006,4.2816187372000005,4.456997278341831,0.33543185387472707,4.2816187372000005
CH2,bridge,H2O,top_metal,slab_vac,2.1736667614,2.8881667614,3.4127448328858705,0.23858774558089887,2.8881667614
CH3,bridge,H2O,top_metal,slab_vac,0.6343058222,1.5805558222,1.5962771320566205,0.3383413765481748,1.5805558222
N2,bridge,H2O,top_metal,slab_vac,0.1456378411,0.4616378411,0.4641069621203472,0.3479604058289591,0.4616378411
NO,bridge,H2O,top_metal,slab_vac,1.9752292878,2.4632292878,2.744677143671427,0.3479604058289591,2.4632292878
NH,bridge,H2O,top_metal,slab_vac,-1.015124549,-1.2448745490000002,-0.6412231672057658,0.23973417154003482,-1.2448745490000002
NH3,bridge,H2O,top_metal,slab_vac,-1.6319235262,-0.9161735262,-1.02146267521492,0.24086861664834874,-0.9161735262
H2O,top_metal,H2,bridge,slab_vac,-0.1647938477,0.3632061523,0.2717505525033821,0.2946847510714297,0.3632061523
H2O,top_metal,C,bridge,slab_vac,-0.4416112988000001,0.08638870119999993,0.2635683201503749,0.31644456872230325,0.08638870119999993
H2O,top_metal,CO,bridge,slab_vac,-0.2069447084,0.3210552916,0.2674466538486078,0.30564919988674794,0.3210552916
H2O,top_metal,CH,bridge,slab_vac,-0.3503381536,0.17766184640000005,0.27169837593039947,0.27040142414934226,0.17766184640000005
H2O,top_metal,CH2,bridge,slab_vac,-0.288213992,0.23978600800000005,0.27362151903271115,0.26532690843891876,0.23978600800000005
H2O,top_metal,CH3,bridge,slab_vac,-0.1563569543,0.3716430457000001,0.26774884635616925,0.29825830978046586,0.3716430457000001
H2O,top_metal,N2,bridge,slab_vac,-0.1620407347,0.3659592653,0.27093824425041424,0.2988315073314284,0.3659592653
H2O,top_metal,NO,bridge,slab_vac,-0.5105753169,0.017424683100000005,0.27009373241174917,0.2721986606008438,0.017424683100000005
H2O,top_metal,NH,bridge,slab_vac,-0.3310571107,0.19694288930000006,0.2672221244298085,0.29859336619576154,0.19694288930000006
H2O,top_metal,NH3,bridge,slab_vac,-0.0121362827,0.5158637172999999,0.27244828670618615,0.3008832182405962,0.5158637172999999
H2,bridge,CH3,top_metal,slab_vac,-0.2346226738,-0.3261226738,-0.549273359352636,0.3118026729972705,-0.3261226738
CO,bridge,CH3,top_metal,slab_vac,2.7910351668,3.4825351668,3.300509824927394,0.35696264406941325,3.4825351668
CH,bridge,CH3,top_metal,slab_vac,4.8646182026,5.4793682026,4.427041236142273,0.3426129685670448,5.4793682026
N2,bridge,CH3,top_metal,slab_vac,0.2064913666,0.5224913666,0.4539173900749268,0.35696264406940326,0.5224913666
NO,bridge,CH3,top_metal,slab_vac,2.4189745042,2.9069745042000004,2.6879596639084804,0.35696264406940326,2.9069745042000004
CH3,top_metal,H2,bridge,slab_vac,1.3708781786000002,2.3531281786000005,2.3899291420663786,0.20314025927617402,2.3531281786000005
CH3,top_metal,CO,bridge,slab_vac,1.4254925391,2.4077425391,2.3178334992067775,0.21565016009827195,2.4077425391
CH3,top_metal,CH,bridge,slab_vac,2.3657053242,3.3479553242,2.99549386623654,0.17595163921724594,3.3479553242
CH3,top_metal,N2,bridge,slab_vac,1.4171068031999998,2.3993568032,2.3656945080337124,0.2071147041044729,2.3993568032
CH3,top_metal,NO,bridge,slab_vac,1.4514639119,2.4337139119,2.6558648296902767,0.19075916417072689,2.4337139119
