Ads1,Site1,Ads2,Site2,Slab,eV,Gf,energyML,Std,energyDFT
CO,top_metal,NH2,bridge,slab_vac,3.0179763058,3.7044763057999996,3.8320761263144147,0.2959907302379156,3.7044763058
CH,top_metal,NH2,bridge,slab_vac,5.432455685,5.996205685,5.959545873668247,0.2829919947748519,5.996205685
CH2,top_metal,NH2,bridge,slab_vac,3.4332777984,4.1517777984,4.159343434916778,0.27436504766458275,4.1517777983999995
CH3,top_metal,NH2,bridge,slab_vac,1.4819414919999998,2.4641914919999994,2.3929621646692354,0.20548773689123448,2.4641914919999994
N2,top_metal,NH2,bridge,slab_vac,0.2821997292,0.5491997291999999,0.5852009206316112,0.2959907302379096,0.5491997291999999
NO,top_metal,NH2,bridge,slab_vac,3.2361379001999997,3.6791379002,3.658403856273617,0.2959907302379096,3.6791379001999998
NH2,top_metal,NH2,bridge,slab_vac,-0.2792662345,0.16273376550000002,0.12501103567304384,0.2789140892787006,0.16273376550000002
NH3,top_metal,NH2,bridge,slab_vac,-1.4167026076999998,-0.6749526076999998,-0.7083406290709604,0.28680902345973736,-0.6749526076999998
NH2,bridge,H,top_metal,slab_vac,-1.0850106402,-0.5420106402,-0.63955485449695,0.33933178753758053,-0.5420106402
NH2,bridge,H2,top_metal,slab_vac,-1.9216558992,-1.3786558992,-0.6665968925684922,0.3158798625404713,-1.3786558992
NH2,bridge,O,top_metal,slab_vac,0.271086021,0.8140860209999999,1.1182514181637941,2.031846801498489,0.8140860209999999
NH2,bridge,OH,top_metal,slab_vac,-1.8892072617,-1.3462072616999998,-0.6548093046573058,0.32752748614198257,-1.3462072616999998
NH2,bridge,CO,top_metal,slab_vac,-1.2747268614,-0.7317268614000001,-0.6690382294549124,0.31035083547234754,-0.7317268614000001
NH2,bridge,CH,top_metal,slab_vac,-1.0280424940000001,-0.485042494,-0.5319737462148026,0.5103106136601523,-0.485042494
NH2,bridge,CH2,top_metal,slab_vac,-1.0685549565999999,-0.5255549566000002,-0.5869619641742219,0.40126804555206086,-0.5255549566000002
NH2,bridge,CH3,top_metal,slab_vac,-1.0610863807,-0.5180863807,-0.6585174969470557,0.3432763909873803,-0.5180863807
NH2,bridge,N2,top_metal,slab_vac,-1.2090869874,-0.6660869873999999,-0.6353646726379907,0.33431591859497933,-0.6660869873999999
NH2,bridge,NO,top_metal,slab_vac,-1.1205309001,-0.5775309001000002,-0.6176695078443402,0.3454689878478933,-0.5775309001000002
NH2,bridge,NH2,top_metal,slab_vac,-1.0041858548,-0.4611858548000001,-0.6456189282260212,0.3270791202440418,-0.4611858548000001
NH2,bridge,NH3,top_metal,slab_vac,-1.3584526537000001,-0.8154526537000001,-0.6811904772982871,0.35442848845434627,-0.8154526537000001
