Ads1,Site1,Ads2,Site2,Slab,eV,Gf
N,top_metal,H,top_other,slab,4.9833244721,5.2938244721
NH,top_metal,H,top_other,slab,2.1621277241,2.4083777241
NO,top_metal,H,top_other,slab,3.1971381191000003,3.5071381191000004
NH2,top_metal,H,top_other,slab,-0.369069284,0.08693071599999999
NH3,top_metal,H,top_other,slab,-1.3038266072,-0.7590766072
H2O,top_metal,H,top_other,slab,-0.0432793174,0.5107206826
H,top_metal,NH2,top_other,slab,0.9827624140000001,0.918512414
O,top_metal,NH2,top_other,slab,1.7828958745,2.0063958745000003
OH,top_metal,NH2,top_other,slab,-0.2502894543,0.11696054570000004
H2O,top_metal,NH2,top_other,slab,-0.3508527211,0.20314727890000006
CO,top_metal,NH2,top_other,slab,3.001682666,3.6671826660000004
CH,top_metal,NH2,top_other,slab,5.4465220720000005,6.023272072
CH2,top_metal,NH2,top_other,slab,3.4537624013999997,4.1742624014
NO,top_metal,NH2,top_other,slab,3.2220840305,3.5320840305
NH,top_metal,NH2,top_other,slab,2.0267830018,2.2730330018000005
NH2,top_metal,NH2,top_other,slab,-0.33186912859999995,0.12413087140000005
NH3,top_metal,NH2,top_other,slab,-1.4603363534999998,-0.9155863534999998
H2O,top_metal,CH,top_metal,slab,-0.0812785355,0.4727214645000001
CO,top_metal,CH,top_metal,slab,3.0246998336,3.6901998336
CH,top_metal,CH,top_metal,slab,6.4086400309,6.9853900309000005
CH2,top_metal,CH,top_metal,slab,4.8546698374,5.5751698374000025
NH2,top_metal,CH,top_metal,slab,1.2873658149999998,1.7433658149999998
NH3,top_metal,CH,top_metal,slab,-1.3973425157,-0.8525925156999999
O,top_metal,CH2,top_metal,slab,4.3075268939,4.531026893900001
OH,top_metal,CH2,top_metal,slab,2.1858235737,2.5530735737000003
H2O,top_metal,CH2,top_metal,slab,-0.368916054,0.18508394600000005
CH,top_metal,CH2,top_metal,slab,6.985008422000001,7.561758422
CH2,top_metal,CH2,top_metal,slab,4.4037326489,5.1242326489000005
NO,top_metal,CH2,top_metal,slab,3.6343413078,3.9443413078
NH,top_metal,CH2,top_metal,slab,3.6142898656,3.8605398656
NH2,top_metal,CH2,top_metal,slab,0.6820737507,1.1380737506999998
O,top_metal,CO,top_metal,slab,4.5091408899,4.732640889900001
OH,top_metal,CO,top_metal,slab,1.8493060881999999,2.2165560882
H2O,top_metal,CO,top_metal,slab,0.0939987747,0.6479987747
CO,top_metal,CO,top_metal,slab,3.1440419421,3.8095419421
CH,top_metal,CO,top_metal,slab,6.721804016,7.2985540160000015
NO,top_metal,CO,top_metal,slab,3.6071629735,3.9171629735
NH,top_metal,CO,top_metal,slab,3.3169589674,3.5632089674000005
NH2,top_metal,CO,top_metal,slab,0.9735139258,1.4295139258
NH3,top_metal,CO,top_metal,slab,-1.4734210894,-0.9286710894
H2O,top_metal,H2O,top_metal,slab,-0.7915351589,-0.2375351589
OH,top_metal,H2O,top_metal,slab,1.9848615629,2.3521115629
CO,top_metal,H2O,top_metal,slab,3.4350838783999995,4.100583878399998
CH,top_metal,H2O,top_metal,slab,6.9569107507000005,7.5336607507
CH2,top_metal,H2O,top_metal,slab,4.5389346475000005,5.259434647500001
NO,top_metal,H2O,top_metal,slab,3.692581859,4.002581859
NH,top_metal,H2O,top_metal,slab,3.0790455133,3.3252955133000004
NH2,top_metal,H2O,top_metal,slab,0.9399032256,1.3959032256
NH3,top_metal,H2O,top_metal,slab,-1.20745772,-0.6627077200000001
N2,top_metal,N2,top_metal,slab,0.4137222028,0.7397222027999999
O,top_metal,NH,top_metal,slab,4.3845879351,4.6080879351
NH,top_metal,NH,top_metal,slab,3.3761158623000003,3.6223658623000015
OH,top_metal,NH,top_metal,slab,1.9310181012,2.2982681012
H2O,top_metal,NH,top_metal,slab,-0.5494477487,0.004552251300000032
CO,top_metal,NH,top_metal,slab,3.0295508092000003,3.6950508092000014
CH2,top_metal,NH,top_metal,slab,4.8936473051,5.6141473051
NH,top_metal,NH,top_metal,slab,3.3761377675,3.6223877675
NH2,top_metal,NH,top_metal,slab,0.9895815749,1.4455815749
NH3,top_metal,NH,top_metal,slab,-1.4026790787,-0.8579290787000001
O,top_metal,NH2,top_metal,slab,4.2702853772000005,4.493785377200001
OH,top_metal,NH2,top_metal,slab,1.6071265675000002,1.9743765675
H2O,top_metal,NH2,top_metal,slab,-0.4271702109,0.12682978910000006
CO,top_metal,NH2,top_metal,slab,2.947525593,3.613025593
CH,top_metal,NH2,top_metal,slab,6.958481664600001,7.5352316646
CH2,top_metal,NH2,top_metal,slab,4.2228510157,4.9433510157
NO,top_metal,NH2,top_metal,slab,3.6053037549,3.9153037549
NH,top_metal,NH2,top_metal,slab,3.2510014004000003,3.4972514004000006
NH2,top_metal,NH2,top_metal,slab,0.8731733992,1.3291733992
NH3,top_metal,NH2,top_metal,slab,-1.4945020300999998,-0.9497520301000001
NH3,top_metal,NH3,top_metal,slab,-0.9042419492,-0.35949194920000005
O,top_metal,NH3,top_metal,slab,4.255944019,4.479444019000001
OH,top_metal,NH3,top_metal,slab,1.6074849415,1.9747349415
H2O,top_metal,NH3,top_metal,slab,0.0479749159,0.6019749159000001
CO,top_metal,NH3,top_metal,slab,3.1230966502,3.7885966501999997
CH,top_metal,NH3,top_metal,slab,6.8962794063,7.4730294063
NO,top_metal,NH3,top_metal,slab,3.6102552766,3.9202552766
NH,top_metal,NH3,top_metal,slab,3.4812468192000003,3.7274968192000006
NH2,top_metal,NH3,top_metal,slab,1.1280040423000002,1.5840040423
H2O,top_metal,NO,top_metal,slab,-0.1504196998,0.4035803002
CO,top_metal,NO,top_metal,slab,3.1052465185000004,3.7707465185
CH2,top_metal,NO,top_metal,slab,4.6991904506,5.419690450599999
NO,top_metal,NO,top_metal,slab,3.4719525394,3.7819525393999998
NH2,top_metal,NO,top_metal,slab,1.1293756327,1.5853756327
NH3,top_metal,NO,top_metal,slab,-1.4881789179999998,-0.9434289179999998
OH,top_metal,O,top_metal,slab,1.8891115988,2.2563615988000003
O2,top_metal,O,top_metal,slab,5.1246569858,5.5256569858
CO,top_metal,O,top_metal,slab,2.8575475742000003,3.5230475742000005
NH,top_metal,O,top_metal,slab,3.0204027777,3.2666527777000005
NH2,top_metal,O,top_metal,slab,0.6446803943000001,1.1006803943
NH3,top_metal,O,top_metal,slab,-1.9921670362000001,-1.4474170362000005
CH2,top_metal,O,top_metal,slab,4.2226991761,4.9431991761
O,top_metal,O2,top_metal,slab,4.3909438369,4.6144438369000005
H2,top_metal,O2,top_metal,slab,-0.1948895455,-0.2153895455
O,top_metal,OH,top_metal,slab,4.7673038405,4.990803840500001
OH,top_metal,OH,top_metal,slab,2.1177682802,2.4850182802000003
H2O,top_metal,OH,top_metal,slab,-0.1296246148,0.4243753852000001
CO,top_metal,OH,top_metal,slab,3.0759050143,3.7414050143
CH2,top_metal,OH,top_metal,slab,4.9791880976,5.6996880976
NH,top_metal,OH,top_metal,slab,3.4450251855,3.6912751855000003
NH2,top_metal,OH,top_metal,slab,0.8597138262999999,1.3157138263
NH3,top_metal,OH,top_metal,slab,-1.762433872,-1.217683872
H,top_metal,H,bridge,slab_vac,1.0227567716,1.0715067716
H2,top_metal,H,bridge,slab_vac,-0.1763811702,-0.13488117019999998
O,top_metal,H,bridge,slab_vac,2.547753661,2.7942536610000004
OH,top_metal,H,bridge,slab_vac,-0.0267696042,0.3684803958
H2O,top_metal,H,bridge,slab_vac,-0.1494983219,0.3785016781
C,top_metal,H,bridge,slab_vac,8.425054024,8.940054024
CO,top_metal,H,bridge,slab_vac,3.0229588485,3.7094588485
CH,top_metal,H,bridge,slab_vac,6.167193993300001,6.7309439933
CH2,top_metal,H,bridge,slab_vac,3.7308499256,4.4493499256
CH3,top_metal,H,bridge,slab_vac,1.4265456202000002,2.4087956202000003
N,top_metal,H,bridge,slab_vac,5.1391921655,5.3006921655
N2,top_metal,H,bridge,slab_vac,0.273421741,0.5404217410000001
NO,top_metal,H,bridge,slab_vac,3.2692544415,3.7122544415
NH,top_metal,H,bridge,slab_vac,2.1731668433,2.5004168433000005
NH2,top_metal,H,bridge,slab_vac,-0.3639325888,0.07806741119999996
NH3,top_metal,H,bridge,slab_vac,-1.4607424836000005,-0.7189924836000002
H,bridge,H,top_metal,slab_vac,-0.2718745159,-0.1881245159
H,bridge,H2,top_metal,slab_vac,-0.4170209193,-0.3332709193
H,bridge,O,top_metal,slab_vac,1.4287290328,1.5124790328
H,bridge,OH,top_metal,slab_vac,-0.32598328870000004,-0.24223328870000005
H,bridge,H2O,top_metal,slab_vac,-0.4096586039,-0.3259086039
H,bridge,CO,top_metal,slab_vac,-0.5051707404,-0.4214207404
H,bridge,CH,top_metal,slab_vac,0.4712693927000001,0.5550193927000002
H,bridge,CH2,top_metal,slab_vac,-0.006409251099999999,0.07734074889999999
H,bridge,CH3,top_metal,slab_vac,-0.3519086742,-0.2681586742
H,bridge,N,top_metal,slab_vac,0.7760892752999999,0.8598392752999999
H,bridge,N2,top_metal,slab_vac,-0.4532913973,-0.3695413973
H,bridge,NO,top_metal,slab_vac,-0.3228407806,-0.2390907806
H,bridge,NH,top_metal,slab_vac,0.7407022152,0.8244522152
H,bridge,NH2,top_metal,slab_vac,-0.3242786308,-0.2405286308000001
H,bridge,NH3,top_metal,slab_vac,-0.6379189513000001,-0.5541689513000001
H2,bridge,H,top_metal,slab_vac,-0.2877410878,-0.3792410878
H2O,bridge,H,top_metal,slab_vac,-0.6147527864,-0.11875278639999998
CO,bridge,H,top_metal,slab_vac,2.7132455406,3.4047455406000005
CH,bridge,H,top_metal,slab_vac,4.8022420635000005,5.4169920635
CH2,bridge,H,top_metal,slab_vac,2.9652709012000003,3.6797709012
CH3,bridge,H,top_metal,slab_vac,0.7429254160000001,1.689175416
N,bridge,H,top_metal,slab_vac,3.6234,3.8399
N2,bridge,H,top_metal,slab_vac,0.0991218642,0.4151218642
NO,bridge,H,top_metal,slab_vac,2.428484343,2.9164843430000005
NH,bridge,H,top_metal,slab_vac,0.5320917350000001,0.3023417350000001
NH2,bridge,H,top_metal,slab_vac,-1.0895579366,-0.5465579366000002
NH3,bridge,H,top_metal,slab_vac,-2.0403366496,-1.3245866495999998
H,top_metal,H2,bridge,slab_vac,0.8339367578000001,0.8826867578000002
H,top_metal,H2O,bridge,slab_vac,0.7478439820999999,0.7965939821
H,top_metal,C,bridge,slab_vac,1.8298465088,1.8785965088
H,top_metal,CO,bridge,slab_vac,0.863879906,0.912629906
H,top_metal,CH,bridge,slab_vac,1.8195061782,1.8682561782
H,top_metal,CH2,bridge,slab_vac,1.5378611533000002,1.5866111533000002
H,top_metal,CH3,bridge,slab_vac,0.9867336451000001,1.0354836451
H,top_metal,N,bridge,slab_vac,2.6721717385000003,2.7209217385000004
H,top_metal,N2,bridge,slab_vac,0.8259142940000002,0.8746642940000002
H,top_metal,NO,bridge,slab_vac,0.9771507438,1.0259007437999998
H,top_metal,NH,bridge,slab_vac,2.2506510217,2.2994010217
H,top_metal,NH2,bridge,slab_vac,0.9696469292,1.0183969292
H,top_metal,NH3,bridge,slab_vac,0.6139215994,0.6626715994000001
H2,top_metal,C,bridge,slab_vac,-0.1824235968,-0.1409235968
OH,top_metal,C,bridge,slab_vac,0.8850280885999999,1.2802780886
H2O,top_metal,C,bridge,slab_vac,-0.4416112988000001,0.08638870119999993
CO,top_metal,C,bridge,slab_vac,2.9619342994,3.6484342994
CH,top_metal,C,bridge,slab_vac,5.3722247949999975,5.935974794999997
CH2,top_metal,C,bridge,slab_vac,3.38021653,4.09871653
CH3,top_metal,C,bridge,slab_vac,2.1573931071000003,3.1396431071000004
N2,top_metal,C,bridge,slab_vac,0.2352017025,0.5022017025
NH2,top_metal,C,bridge,slab_vac,-0.46681653,-0.02481653000000003
NH3,top_metal,C,bridge,slab_vac,-1.6454372497999998,-0.9036872497999998
C,bridge,H,top_metal,slab_vac,7.4200201558,7.894020155800001
C,bridge,H2,top_metal,slab_vac,6.4606067375,6.9346067375
C,bridge,OH,top_metal,slab_vac,7.4694844875,7.9434844875
C,bridge,H2O,top_metal,slab_vac,6.1818985025,6.6558985025
C,bridge,CO,top_metal,slab_vac,6.3174747938,6.7914747938
C,bridge,CH,top_metal,slab_vac,6.5600164983,7.034016498300001
C,bridge,CH2,top_metal,slab_vac,6.5266377752999984,7.0006377752999995
C,bridge,CH3,top_metal,slab_vac,7.2626088960000015,7.736608896000003
C,bridge,N2,top_metal,slab_vac,6.3921586474000005,6.8661586474000025
C,bridge,NH2,top_metal,slab_vac,6.4564707412999995,6.9304707413
C,bridge,NH3,top_metal,slab_vac,6.061056365800001,6.5350563658
H2,top_metal,H2O,bridge,slab_vac,-0.2031322856,-0.16163228559999998
O,top_metal,H2O,bridge,slab_vac,0.32951653000000003,0.5760165300000001
H2O,top_metal,H2O,bridge,slab_vac,0.099995214,0.627995214
C,top_metal,H2O,bridge,slab_vac,7.8094609496,8.324460949599999
CO,top_metal,H2O,bridge,slab_vac,3.1318221204000003,3.8183221204000004
CH,top_metal,H2O,bridge,slab_vac,5.2098870092,5.7736370092
CH2,top_metal,H2O,bridge,slab_vac,3.2510686572000003,3.9695686572
CH3,top_metal,H2O,bridge,slab_vac,1.3035205853,2.2857705853
N,top_metal,H2O,bridge,slab_vac,3.5621733901,3.7236733901
N2,top_metal,H2O,bridge,slab_vac,0.3125605724,0.5795605723999999
NO,top_metal,H2O,bridge,slab_vac,2.9768209143,3.4198209143
NH,top_metal,H2O,bridge,slab_vac,0.8716875358,1.1989375358
NH2,top_metal,H2O,bridge,slab_vac,-0.40999386320000003,0.032006136799999946
NH3,top_metal,H2O,bridge,slab_vac,-1.0850303834,-0.3432803833999999
H2O,bridge,H,top_metal,slab_vac,-0.6163952663000001,-0.12039526630000008
H2O,bridge,H2,top_metal,slab_vac,-0.5117375157,-0.015737515700000038
H2O,bridge,O,top_metal,slab_vac,-0.8574119081,-0.3614119081
H2O,bridge,H2O,top_metal,slab_vac,-0.2281305491,0.26786945090000003
H2O,bridge,CO,top_metal,slab_vac,-0.4642729495,0.03172705050000002
H2O,bridge,CH,top_metal,slab_vac,-0.5540030725,-0.05800307250000002
H2O,bridge,CH2,top_metal,slab_vac,-0.5541560005,-0.05815600050000003
H2O,bridge,CH3,top_metal,slab_vac,-0.5428991902,-0.046899190199999996
H2O,bridge,N,top_metal,slab_vac,-0.8688949812000001,-0.3728949812000001
H2O,bridge,N2,top_metal,slab_vac,-0.4821180470000001,0.013881952999999891
H2O,bridge,NO,top_metal,slab_vac,-0.6832397887999999,-0.18723978879999992
H2O,bridge,NH,top_metal,slab_vac,-0.6287425734000001,-0.13274257340000006
H2O,bridge,NH2,top_metal,slab_vac,-0.4383053863,0.057694613700000015
H2O,bridge,NH3,top_metal,slab_vac,-0.3301723322,0.16582766780000002
H,top_metal,CH2,bridge,slab_vac,1.5375668621,1.5863168621000001
H2,top_metal,CH2,bridge,slab_vac,-0.196762778,-0.15526277800000002
OH,top_metal,CH2,bridge,slab_vac,0.2682246514,0.6634746514000001
H2O,top_metal,CH2,bridge,slab_vac,-0.08652298779999999,0.4414770122
CO,top_metal,CH2,bridge,slab_vac,3.0053251835,3.6918251835
CH2,top_metal,CH2,bridge,slab_vac,3.5880948598000004,4.3065948598000015
CH3,top_metal,CH2,bridge,slab_vac,2.2583023519,3.2405523519
N2,top_metal,CH2,bridge,slab_vac,0.286110415,0.5531104149999999
NH2,top_metal,CH2,bridge,slab_vac,-0.056414288099999994,0.3855857119
NH3,top_metal,CH2,bridge,slab_vac,-1.4620701276,-0.7203201276000001
CH2,bridge,H,top_metal,slab_vac,2.9649766099000003,3.6794766099
CH2,bridge,H2,top_metal,slab_vac,2.2846385083,2.9991385082999997
CH2,bridge,OH,top_metal,slab_vac,2.6910520023,3.4055520023000003
CH2,bridge,H2O,top_metal,slab_vac,2.3753577656,3.0898577656
CH2,bridge,CO,top_metal,slab_vac,2.19923663,2.91373663
CH2,bridge,CH2,top_metal,slab_vac,2.5728767185,3.2873767185
CH2,bridge,CH3,top_metal,slab_vac,3.2018890928,3.9163890928
CH2,bridge,N2,top_metal,slab_vac,2.2814383121,2.9959383121
CH2,bridge,NH2,top_metal,slab_vac,2.7052807053000003,3.4197807053
CH2,bridge,NH3,top_metal,slab_vac,2.08279444,2.79729444
CO,bridge,N2,top_metal,slab_vac,2.8493808899999995,3.5408808899999995
CH,bridge,N2,top_metal,slab_vac,4.1013567728,4.7161067728
NO,bridge,N2,top_metal,slab_vac,2.3943724089,2.8823724089
NH,bridge,N2,top_metal,slab_vac,-0.7265207537999999,-0.9562707537999998
N2,top_metal,CO,bridge,slab_vac,0.2732228257,0.5402228256999999
N2,top_metal,CH,bridge,slab_vac,0.3918284577,0.6588284577
N2,top_metal,NO,bridge,slab_vac,0.21624638,0.48324638
N2,top_metal,NH,bridge,slab_vac,0.2652252603,0.5322252603000001
O,top_metal,N2,bridge,slab_vac,0.51161653,0.75811653
OH,top_metal,N2,bridge,slab_vac,-0.14178360410000002,0.25346639590000003
CO,top_metal,N2,bridge,slab_vac,3.1166057798,3.8031057798
CH,top_metal,N2,bridge,slab_vac,5.623913163399999,6.187663163399999
N2,top_metal,N2,bridge,slab_vac,0.293564977,0.5605649770000001
NO,top_metal,N2,bridge,slab_vac,3.2736164283,3.7166164283
NH,top_metal,N2,bridge,slab_vac,0.9593110884999998,1.2865610884999998
N2,bridge,O,top_metal,slab_vac,-0.0395464581,0.2764535419
N2,bridge,OH,top_metal,slab_vac,0.1268415692,0.4428415692
N2,bridge,CO,top_metal,slab_vac,0.1563150487,0.47231504869999996
N2,bridge,CH,top_metal,slab_vac,0.4958274205,0.8118274205
N2,bridge,NO,top_metal,slab_vac,0.249360064,0.5653600639999999
N2,bridge,NH3,top_metal,slab_vac,0.0946853182,0.4106853182
CH,bridge,NH3,top_metal,slab_vac,3.7378382352,4.3525882352
NO,bridge,NH3,top_metal,slab_vac,1.7865956719999998,2.274595672
NH,bridge,NH3,top_metal,slab_vac,-1.0394232373,-1.2691732373000002
NH3,top_metal,CH,bridge,slab_vac,-1.3623524698999998,-0.6206024698999998
NH3,top_metal,CO,bridge,slab_vac,-1.782192747,-1.0404427470000002
NH3,top_metal,NH,bridge,slab_vac,-1.4383396133000002,-0.6965896133000001
CO,bridge,N2,top_metal,slab_vac,2.8493808899999995,3.5408808899999995
CH,bridge,N2,top_metal,slab_vac,4.1013567728,4.7161067728
NO,bridge,N2,top_metal,slab_vac,2.3943724089,2.8823724089
NH,bridge,N2,top_metal,slab_vac,-0.7265207537999999,-0.9562707537999998
N2,top_metal,H2,bridge,slab_vac,0.1346906965,0.4016906965
N2,top_metal,CO,bridge,slab_vac,0.2732228257,0.5402228256999999
N2,top_metal,CH,bridge,slab_vac,0.3918284577,0.6588284577
N2,top_metal,NO,bridge,slab_vac,0.21624638,0.48324638
N2,top_metal,NH,bridge,slab_vac,0.2652252603,0.5322252603000001
H2,bridge,H2O,top_metal,slab_vac,-0.2520006877,-0.34350068770000003
C,bridge,H2O,top_metal,slab_vac,6.1818985025,6.6558985025
CO,bridge,H2O,top_metal,slab_vac,2.6768919317,3.3683919317000006
CH,bridge,H2O,top_metal,slab_vac,3.6668687372000006,4.2816187372000005
CH2,bridge,H2O,top_metal,slab_vac,2.1736667614,2.8881667614
CH3,bridge,H2O,top_metal,slab_vac,0.6343058222,1.5805558222
N2,bridge,H2O,top_metal,slab_vac,0.1456378411,0.4616378411
NO,bridge,H2O,top_metal,slab_vac,1.9752292878,2.4632292878
NH,bridge,H2O,top_metal,slab_vac,-1.015124549,-1.2448745490000002
NH3,bridge,H2O,top_metal,slab_vac,-1.6319235262,-0.9161735262
H2O,top_metal,H2,bridge,slab_vac,-0.1647938477,0.3632061523
H2O,top_metal,C,bridge,slab_vac,-0.4416112988000001,0.08638870119999993
H2O,top_metal,CO,bridge,slab_vac,-0.2069447084,0.3210552916
H2O,top_metal,CH,bridge,slab_vac,-0.3503381536,0.17766184640000005
H2O,top_metal,CH2,bridge,slab_vac,-0.288213992,0.23978600800000005
H2O,top_metal,CH3,bridge,slab_vac,-0.1563569543,0.3716430457000001
H2O,top_metal,N2,bridge,slab_vac,-0.1620407347,0.3659592653
H2O,top_metal,NO,bridge,slab_vac,-0.5105753169,0.017424683100000005
H2O,top_metal,NH,bridge,slab_vac,-0.3310571107,0.19694288930000006
H2O,top_metal,NH3,bridge,slab_vac,-0.0121362827,0.5158637172999999
H2,bridge,CH3,top_metal,slab_vac,-0.2346226738,-0.3261226738
CO,bridge,CH3,top_metal,slab_vac,2.7910351668,3.4825351668
CH,bridge,CH3,top_metal,slab_vac,4.8646182026,5.4793682026
N2,bridge,CH3,top_metal,slab_vac,0.2064913666,0.5224913666
NO,bridge,CH3,top_metal,slab_vac,2.4189745042,2.9069745042000004
NH,bridge,CH3,top_metal,slab_vac,0.0312603009,-0.19848969910000008
NH3,bridge,CH3,top_metal,slab_vac,-1.7884302793,-1.0726802793
CH3,top_metal,H2,bridge,slab_vac,1.3708781786000002,2.3531281786000005
CH3,top_metal,CO,bridge,slab_vac,1.4254925391,2.4077425391
CH3,top_metal,CH,bridge,slab_vac,2.3657053242,3.3479553242
CH3,top_metal,N2,bridge,slab_vac,1.4171068031999998,2.3993568032
CH3,top_metal,NO,bridge,slab_vac,1.4514639119,2.4337139119
CH3,top_metal,NH,bridge,slab_vac,2.2336217516,3.2158717516000004
CH3,top_metal,NH3,bridge,slab_vac,1.3496509766999998,2.3319009767
OH,top_metal,NH,bridge,slab_vac,1.4802716646,1.8755216646000001
CO,top_metal,NH,bridge,slab_vac,3.0246464993,3.7111464993
CH,top_metal,NH,bridge,slab_vac,6.7010719254,7.2648219254
NO,top_metal,NH,bridge,slab_vac,3.6008078880000003,4.043807888
NH,top_metal,NH,bridge,slab_vac,3.3416235129,3.6688735129000003
NH,bridge,OH,top_metal,slab_vac,0.7570917349999999,0.5273417349999999
NH,bridge,CO,top_metal,slab_vac,-0.9273902459,-1.1571402459
NH,bridge,CH,top_metal,slab_vac,0.5812401684999999,0.3514901684999999
NH,bridge,NO,top_metal,slab_vac,-0.4151944903,-0.6449444903
NH,bridge,NH,top_metal,slab_vac,1.4852517285,1.2555017284999999
H2,bridge,NH3,top_metal,slab_vac,-0.2483811638,-0.33988116380000005
NH3,top_metal,H2,bridge,slab_vac,-1.244158138,-0.502408138
OH,top_metal,CH,bridge,slab_vac,0.3984824754,0.7937324753999999
CO,top_metal,CH,bridge,slab_vac,2.9729472956,3.6594472956
CH,top_metal,CH,bridge,slab_vac,5.884630992000001,6.448380992000001
NO,top_metal,CH,bridge,slab_vac,3.6672031504,4.110203150399999
NH,top_metal,CH,bridge,slab_vac,2.4836321382,2.8108821382
CH,bridge,OH,top_metal,slab_vac,4.3766359637,4.9913859637
CH,bridge,CO,top_metal,slab_vac,3.7221848796,4.3369348795999985
CH,bridge,CH,top_metal,slab_vac,4.4660735642,5.0808235642
CH,bridge,NO,top_metal,slab_vac,4.3524751011000005,4.9672251011
CH,bridge,NH,top_metal,slab_vac,5.3285346829,5.9432846829
N2,bridge,NH3,top_metal,slab_vac,0.121974811,0.437974811
NH3,top_metal,N2,bridge,slab_vac,-1.268687579,-0.5269375789999999
H2,top_metal,N,bridge,slab_vac,-0.1797630025,-0.13826300249999998
O,top_metal,N,bridge,slab_vac,4.4044353832,4.6509353832
OH,top_metal,N,bridge,slab_vac,1.7660967682,2.1613467682
H2O,top_metal,N,bridge,slab_vac,-0.458514882,0.06948511800000001
CO,top_metal,N,bridge,slab_vac,2.9298349202,3.6163349202
