Ads1,Site1,Ads2,Site2,Slab,eV,Gf
H,top_metal,None,top_metal,slab,2.6059615137,2.5417115137
H2,top_metal,None,top_metal,slab,-0.18362552420000008,-0.20412552420000002
O,top_metal,None,top_metal,slab,4.5881128513,4.8116128513000005
OH,top_metal,None,top_metal,slab,1.7099206096,2.0771706096
O2,top_metal,None,top_metal,slab,5.3218260002,5.7228260002
H2O,top_metal,None,top_metal,slab,-0.404565568,0.14943443200000006
CO,top_metal,None,top_metal,slab,2.9365195357,3.6020195357
CH,top_metal,None,top_metal,slab,6.633623718099999,7.2103737181
CH2,top_metal,None,top_metal,slab,4.5032851335,5.223785133500001
CH3,top_metal,None,top_metal,slab,2.1383279866,2.9745779866000004
N2,top_metal,None,top_metal,slab,0.2232250146,0.5492250146000001
NO,top_metal,None,top_metal,slab,3.4384359907,3.7484359907
NH,top_metal,None,top_metal,slab,3.2239276939,3.4701776939
NH2,top_metal,None,top_metal,slab,0.9625078684999999,1.4185078684999999
NH3,top_metal,None,top_metal,slab,-1.6599982039,-1.1152482039000002
H,bridge,None,top_metal,slab_vac,-0.4099474529,-0.3261974529
H2,bridge,None,top_metal,slab_vac,-0.2369940109,-0.3284940109
H2O,bridge,None,top_metal,slab_vac,-0.4779129339,0.0180870661
C,bridge,None,top_metal,slab_vac,6.473722630399999,6.9477226303999995
CO,bridge,None,top_metal,slab_vac,2.7340494692000004,3.4255494692000013
CH,bridge,None,top_metal,slab_vac,3.86741972,4.48216972
CH2,bridge,None,top_metal,slab_vac,2.3120935825,3.0265935825000003
CH3,bridge,None,top_metal,slab_vac,0.6408756056,1.5871256056
N,bridge,None,top_metal,slab_vac,1.8360070477,2.0525070477000003
N2,bridge,None,top_metal,slab_vac,0.1578914049,0.4738914049
NO,bridge,None,top_metal,slab_vac,2.3360174338,2.8240174338
NH,bridge,None,top_metal,slab_vac,-0.8338546092000001,-1.0636046092000002
NH2,bridge,None,top_metal,slab_vac,-1.1745210312,-0.6315210312000001
NH3,bridge,None,top_metal,slab_vac,-1.7695744144,-1.0538244144000002
H,top_metal,None,bridge,slab_vac,0.8846838346999999,0.9334338347
H2,top_metal,None,bridge,slab_vac,-0.1693077039,-0.1278077039
OH,top_metal,None,bridge,slab_vac,-0.11073376840000004,0.2845162316
H2O,top_metal,None,bridge,slab_vac,-0.1497871709,0.3782128291
CO,top_metal,None,bridge,slab_vac,3.118182136,3.8046821360000003
CH,top_metal,None,bridge,slab_vac,5.2859771478,5.8497271477999995
CH2,top_metal,None,bridge,slab_vac,3.3273117238,4.0458117238
CH3,top_metal,None,bridge,slab_vac,1.3685068415,2.3507568415
N,top_metal,None,bridge,slab_vac,3.9531554374,4.1146554374
N2,top_metal,None,bridge,slab_vac,0.3167656855,0.5837656855
NO,top_metal,None,bridge,slab_vac,3.1821477692,3.6251477692
NH,top_metal,None,bridge,slab_vac,1.0225171753,1.3497671753
NH2,top_metal,None,bridge,slab_vac,-0.4496014109000001,-0.0076014109000000765
NH3,top_metal,None,bridge,slab_vac,-1.2327709852,-0.4910209851999999
H,top_metal,CH3,top_other,slab,0.8880272989,0.8237772989000001
O,top_metal,CH3,top_other,slab,2.2732704034,2.4967704034000002
OH,top_metal,CH3,top_other,slab,-0.0800589058,0.2871910942
H2O,top_metal,CH3,top_other,slab,-0.2080584709,0.3459415291000001
CO,top_metal,CH3,top_other,slab,3.089851263,3.755351263
CH,top_metal,CH3,top_other,slab,5.438501512999999,6.015251513
CH2,top_metal,CH3,top_other,slab,3.4483344081,4.1688344081
NO,top_metal,CH3,top_other,slab,3.2218281073000004,3.5318281073000004
NH,top_metal,CH3,top_other,slab,2.1040390126,2.3502890126
NH2,top_metal,CH3,top_other,slab,-0.30049153160000003,0.15550846839999996
NH3,top_metal,CH3,top_other,slab,-1.1462703107,-0.6015203107000001
H2O,top_metal,H,top_other,slab,-0.0432793174,0.5107206826
CO,top_metal,H,top_other,slab,3.0579288939,3.7234288939
CH,top_metal,H,top_other,slab,5.4080129123,5.984762912300003
CH2,top_metal,H,top_other,slab,3.4074382648,4.1279382648
CH3,top_metal,H,top_other,slab,1.4096416288,2.2458916288
